,GST and ITR filing details:,,,,,
,,,,,,
Sr. No.,Task Description,Category,Due date,Last Filed Date (Jan),Last Filed Date (Feb),Last Filed Date (March)
1,GST Filings,,,,,
,1,GST (GSTR-1),11th of month,09-02-2024,09-03-2024,_
,2,GST (GSTR-3B),20th of month,15-02-2024,15-03-2024,
,,"Acknowledgment Reference
 Number:",_,_,_,
,,GST (GSTR-1),,,,
,,GST (GSTR-3B),,,AA370224242067F,
,,"View e-filed 
Return Link",,_,_,_
,,,,,,
,,,,,,
,,,,,,
2,Income Tax Returns,Category,Due date,Last Date Filed Date,Last Date Filed Date,Last Date Filed Date
,1,Income Tax (Individual),July 31st,,,_
,2,Income Tax (Company),September 30th,,,_
,,"Acknowledgment Reference
 Number:",,,,
,,Income Tax (Individual),,,,
,,Income Tax (Company),,,,
,,"View e-filed 
Return Link",,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
